Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Recording media name,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z
1159335,212064374,Eye Tracker,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,939,549,139553,2630,3645787,-3598,7775,99632,11451,4780,99227,2929,-2637,-3656,-3294,-2357,-3319,590,539,Valid,Valid,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,,,
1159859,212064898,Accelerometer,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,-9414,-90684,35393
1167100,212072139,Gyroscope,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,171500,-36983,-7943,,,
1169331,212074370,Eye Tracker,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,939,545,139919,14890,3705771,-3536,8140,99605,11263,4882,99244,2968,-2626,-3655,-3304,-2388,-3319,582,542,Valid,Valid,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,,,
1169680,212074719,Accelerometer,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,-10199,-89411,37211
1177981,212083020,Gyroscope,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,198800,-47040,-15402,,,
1179317,212084356,Eye Tracker,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,938,544,142639,19226,3693144,-3519,7985,99619,11425,5229,99207,2932,-2635,-3658,-3294,-2355,-3320,588,540,Valid,Valid,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,,,
1179501,212084540,Accelerometer,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,-10983,-90456,38620
1188862,212093901,Gyroscope,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,219100,-47649,-24039,,,
1189309,212094348,Eye Tracker,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,937,542,146898,25062,3698072,-3340,8478,99584,11416,5054,99218,2969,-2624,-3658,-3303,-2385,-3319,583,540,Valid,Valid,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,,,
1189322,212094361,Accelerometer,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,-11376,-91820,39574
1199143,212104182,Accelerometer,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,-12160,-92592,39438
1199304,212104343,Eye Tracker,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,936,539,150807,35406,3734734,-3282,8306,99600,11500,5549,99182,2933,-2633,-3659,-3294,-2353,-3320,588,539,Valid,Valid,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,,,
1199743,212104782,Gyroscope,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,228900,-38526,-27406,,,
1208964,212114003,Accelerometer,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,-12160,-94274,39938
1209296,212114335,Eye Tracker,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,936,537,154195,42720,3754877,-3161,8684,99572,11472,5503,99187,2970,-2622,-3660,-3303,-2383,-3319,585,538,Valid,Valid,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,,,
1210624,212115663,Gyroscope,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,232400,-25430,-37181,,,
1218787,212123826,Accelerometer,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,-11376,-95364,39347
1219284,212124323,Eye Tracker,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,935,533,158864,56709,3782833,-3079,8630,99579,11583,6080,99141,2934,-2631,-3659,-3294,-2353,-3318,588,539,Valid,Valid,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,,,
1219991,212125030,,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),SyncPortOutLow,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,,,
1221505,212126544,Gyroscope,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,226100,-18944,-53807,,,
1228610,212133649,Accelerometer,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,-10199,-95683,38893
